25,맛있는 디자인 애프터 이펙트 CC 2020 (쉽게 배워 제대로 써먹는 모션 그래픽 영상 편집),https://image.aladin.co.kr/product/26203/91/cover500/k962738181_1.jpg,이수정,24000,한빛미디어,2020-03-13,5,미디어콘텐츠융합자율학부,영상디자인 I,이원정
26,"UNREAL ENGINE 4 for DESIGN VISUALIZATION (더욱 극적인 장면 연출을 위한 애니메이션, 렌더링 시스템 활용)",https://image.aladin.co.kr/product/16448/12/cover500/k662533647_1.jpg,톰 섀넌,35000,에이콘출판,2018-08-31,5,미디어콘텐츠융합자율학부,3D게임제작,김인권
27,디지털 영상 촬영과 편집,https://image.aladin.co.kr/product/1672/6/cover150/8986913933_1.jpg,안세영|박우철,20000,차송,2012-05-02,5,미디어콘텐츠융합자율학부,디지털영상촬영Ⅰ,김용찬
28,매스커뮤니케이션의 역사,https://image.aladin.co.kr/product/1417/95/cover500/8946045205_1.jpg,어빙 팽,17000,한울,2002-03-20,5,미디어콘텐츠융합자율학부,언론의역사,김서중
29,대중문화의 이해,https://image.aladin.co.kr/product/24083/93/cover500/8946069023_1.jpg,김창남,17000,한울아카데미,2010-02-26,5,미디어콘텐츠융합자율학부,대중문화론,김서중
30,소셜미디어의 이해,https://image.aladin.co.kr/product/3093/99/cover500/8970507450_1.jpg,소셜미디어연구포럼,16000,미래인,2012-01-10,5,미디어콘텐츠융합자율학부,소셜미디어 이론과 활용,이진순
31,인간행동과 사회환경,https://image.aladin.co.kr/product/23417/78/cover500/8999409767_1.jpg,손병덕,20000,학지사,2017-08-30,5,사회융합자율학부,인간행동과사회환경,선미정
32,사회복지조사론,https://image.aladin.co.kr/product/93/37/cover500/895891470x_1.jpg,김태성|김기덕|이채원|홍백의,20000,청목출판사,2012-01-15,5,사회융합자율학부,사회복지조사론,정원오
33,사회복지행정론,https://image.aladin.co.kr/product/18794/39/cover500/k892635571_1.jpg,최성재|남기민,24000,나남,2016-03-05,5,사회융합자율학부,사회복지행정론,황인매
34,학교사회복지론 (제3판),https://image.aladin.co.kr/product/23417/73/cover500/8999409740_1.jpg,주석진,21000,양서원,2020-02-10,5,사회융합자율학부,학교사회복지,최경옥
35,사회복지와 문화다양성,https://image.aladin.co.kr/product/25972/40/cover500/k012737223_1.jpg,김혜영,19000,학지사,2021-02-20,5,사회융합자율학부,사회복지와 문화다양성,양경은
